file_name,path,instrument,segment_id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_C,chroma_Csharp,chroma_D,chroma_Dsharp,chroma_E,chroma_F,chroma_Fsharp,chroma_G,chroma_Gsharp,chroma_A,chroma_Asharp,chroma_B,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,tempo
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,1,-428.3410949707031,199.17181396484375,58.52421569824219,8.056131362915039,10.465203285217285,-0.8514861464500427,-16.18038558959961,-15.214764595031738,-4.37221097946167,1.039469838142395,-0.8406606316566467,-2.8726696968078613,-5.174163341522217,0.17002400755882263,0.13234755396842957,0.3348501920700073,0.22068527340888977,0.4543215036392212,0.25996601581573486,0.13660280406475067,0.2962726652622223,0.14362476766109467,0.275417298078537,0.10687228292226791,0.15595743060112,618.4369799399318,552.5366929667479,951.4984130859375,0.03990794994212963,258.3984375
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,2,-431.8380126953125,201.57508850097656,71.62741088867188,13.579898834228516,7.982881546020508,-1.503316044807434,-15.395936965942383,-16.055395126342773,-4.781896114349365,2.868769884109497,1.0808966159820557,-2.478010654449463,-4.672190189361572,0.27131977677345276,0.15967322885990143,0.37874409556388855,0.19488464295864105,0.2932245135307312,0.2477022409439087,0.13231231272220612,0.3844139277935028,0.114842988550663,0.10266078263521194,0.09033535420894623,0.24547836184501648,443.3636318779703,439.85094874832436,644.3013509114584,0.03724952980324074,287.109375
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,3,-421.2037658691406,201.09791564941406,63.84662628173828,19.605070114135742,8.377815246582031,-1.0743608474731445,-12.79786491394043,-14.82075309753418,-4.837311267852783,0.8103373646736145,0.6645596623420715,0.5271946787834167,-1.8846904039382935,0.3521731197834015,0.1946435570716858,0.32917502522468567,0.21268931031227112,0.2380138486623764,0.29648080468177795,0.144126757979393,0.26773589849472046,0.13766662776470184,0.1968456506729126,0.08397498726844788,0.17339202761650085,458.6582344123649,540.6611819907391,635.9273274739584,0.034905327690972224,161.4990234375
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,4,-320.4360656738281,149.9708251953125,52.13867950439453,30.31263542175293,4.046335220336914,1.4760541915893555,-11.243358612060547,-13.582239151000977,4.557774543762207,-2.290600061416626,0.05246155336499214,-1.9205611944198608,-0.9578800797462463,0.2092459350824356,0.2016458809375763,0.43339771032333374,0.24981139600276947,0.28894755244255066,0.26565709710121155,0.1989760547876358,0.33743005990982056,0.16976997256278992,0.1456645280122757,0.08420534431934357,0.18290814757347107,1328.3676662705057,1618.0423258099738,2625.505574544271,0.0636867947048611,161.4990234375
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,5,-235.46307373046875,102.65279388427734,50.09090042114258,28.749683380126953,3.1279211044311523,-1.5061482191085815,-0.050032440572977066,-15.481966018676758,10.743453025817871,-7.112941741943359,-4.6720147132873535,-7.14577579498291,-4.898569583892822,0.2529684901237488,0.17390374839305878,0.34718117117881775,0.2038978636264801,0.36370354890823364,0.20024722814559937,0.15971511602401733,0.3791985809803009,0.19026879966259003,0.11311908066272736,0.09772168844938278,0.2984994351863861,2211.340063491649,2767.5398856417946,5094.895426432292,0.08261673538773148,129.19921875
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,6,-255.8932342529297,124.20550537109375,42.153564453125,22.17811393737793,8.61089038848877,-4.558699607849121,8.473870277404785,-21.83186912536621,12.224360466003418,-10.184181213378906,-7.099441051483154,-8.300951957702637,-8.225783348083496,0.32304883003234863,0.18696771562099457,0.31771185994148254,0.16921481490135193,0.28586891293525696,0.30885347723960876,0.17879371345043182,0.2800285518169403,0.13933484256267548,0.17694637179374695,0.09762731939554214,0.238930344581604,1934.002359909842,2613.958355130572,4511.305745442708,0.06444408275462964,184.5703125
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,7,-278.7091979980469,126.04678344726562,41.227848052978516,28.072572708129883,13.4278564453125,1.040448784828186,2.425828218460083,-20.339567184448242,15.571612358093262,-8.651843070983887,-9.289252281188965,-9.098331451416016,-5.574346542358398,0.2879958152770996,0.2100057303905487,0.5643565058708191,0.24902810156345367,0.10622083395719528,0.2669084966182709,0.20252864062786102,0.3631693422794342,0.1677737832069397,0.1378699094057083,0.13205517828464508,0.19755218923091888,1825.7268371220086,2350.9988204483443,3933.8470458984375,0.06213831018518518,129.19921875
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,8,-257.4483642578125,103.61693572998047,42.55317687988281,34.53094482421875,17.814807891845703,-0.703329861164093,0.6119880676269531,-16.818912506103516,17.623531341552734,-10.55765438079834,-7.54615592956543,-8.639479637145996,-6.464719295501709,0.42379030585289,0.24145983159542084,0.3778265118598938,0.2165936529636383,0.21047107875347137,0.11888297647237778,0.12009076774120331,0.3984992206096649,0.18955262005329132,0.08097878098487854,0.14086180925369263,0.28979063034057617,2223.057170859298,2598.311079772253,4828.4718831380205,0.08143672236689815,86.1328125
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,9,-262.0054626464844,116.08802032470703,40.36939239501953,36.05971908569336,19.276700973510742,-2.496607542037964,3.450345277786255,-14.308979034423828,16.08086395263672,-10.944709777832031,-4.17459774017334,-8.508552551269531,-6.504340648651123,0.6329673528671265,0.2848961353302002,0.08203021436929703,0.11103656888008118,0.28784048557281494,0.285638689994812,0.14490965008735657,0.18921910226345062,0.1183236688375473,0.10702961683273315,0.12971310317516327,0.36084723472595215,1963.1986521835477,2415.6946986125467,4672.2564697265625,0.07189037181712964,86.1328125
vio_001_classic.mp3,../Data/raw/violin_data\vio_001_classic.mp3,violin_data,10,-246.8595428466797,114.06684112548828,49.03195571899414,32.6702880859375,18.05524444580078,-0.5167628526687622,3.6969187259674072,-17.180538177490234,19.384109497070312,-9.084112167358398,-9.605033874511719,-7.446920871734619,-7.126327037811279,0.4027157127857208,0.20242998003959656,0.13534338772296906,0.14039970934391022,0.2943984568119049,0.38010287284851074,0.22074466943740845,0.33260244131088257,0.1467595249414444,0.07587847858667374,0.0842442661523819,0.21584957838058472,2041.5859463401564,2555.085894707872,5035.280354817708,0.06967954282407407,143.5546875
